datetime,open,close,high,low,volume,status
20241231,222.97,219.39,223.23,218.94,12351800.0,1
20250102,222.44,220.22,225.15,218.19,19983500.0,1
20250103,222.48,224.19,225.36,221.62,14779900.0,1
20250106,226.82,227.61,228.84,224.84,17090900.0,1
20250107,227.95,222.11,228.39,221.46,15666900.0,1
20250108,223.2,222.13,223.52,220.2,11888200.0,1
20250110,221.46,218.94,221.71,216.5,19736900.0,1
20250113,218.06,218.46,219.4,216.47,14551500.0,1
20250114,220.56,217.76,221.82,216.2,14213400.0,1
20250115,222.83,223.35,223.57,220.75,16456600.0,1
20250116,224.49,220.66,224.65,220.31,12673000.0,1
20250117,225.94,225.94,226.51,223.08,24356800.0,1
20250121,228.9,230.71,231.78,226.94,20753600.0,1
20250122,232.1,235.01,235.44,231.19,22088500.0,1
20250123,233.51,235.42,235.52,231.51,15124800.0,1
20250124,234.5,234.85,236.4,232.93,13299800.0,1
20250127,226.27,235.42,235.61,225.86,27908800.0,1
20250128,234.29,238.15,241.77,233.98,24372600.0,1
20250129,239.02,237.07,240.39,236.15,14091000.0,1
20250130,237.36,234.64,237.95,232.22,16787600.0,1
20250131,236.75,237.68,240.29,236.41,19574000.0,1
20250203,233.94,237.42,239.25,232.9,22624800.0,1
20250204,238.82,242.06,242.52,238.03,16413800.0,1
20250205,236.97,236.17,238.32,235.2,24387900.0,1
20250206,238.01,238.83,239.66,236.01,27235800.0,1
20250207,232.66,229.15,234.81,228.06,44142300.0,1
20250210,230.59,233.14,233.92,229.2,20824600.0,1
20250211,231.99,232.76,233.44,230.13,13272700.0,1
20250212,230.46,228.93,231.18,228.16,17514400.0,1
20250213,228.86,230.37,230.42,227.52,17259200.0,1
20250214,229.19,228.68,229.89,227.23,15284600.0,1
20250218,228.82,226.65,229.3,223.72,24320100.0,1
20250219,225.46,226.63,226.83,223.71,15268100.0,1
20250220,224.78,222.88,225.13,221.81,16703000.0,1
20250221,223.28,216.58,223.34,214.75,31160800.0,1
20250224,217.52,212.71,217.72,212.44,22651000.0,1
20250225,211.63,212.8,213.34,204.16,36125700.0,1
20250226,214.94,214.35,218.16,213.09,23279300.0,1
20250227,218.45,208.74,219.97,208.37,23677700.0,1
20250228,208.65,212.28,212.62,206.99,24388300.0,1
20250303,213.17,205.02,214.01,202.55,24600300.0,1
20250304,200.0,203.8,206.8,197.43,36729000.0,1
20250305,204.78,208.36,209.98,203.26,21871500.0,1
20250306,204.4,200.7,205.77,198.34,30079100.0,1
20250307,199.5,199.25,202.27,192.53,37692200.0,1
20250310,195.81,194.54,196.73,190.85,38857400.0,1
20250311,193.9,196.59,200.18,193.4,30313300.0,1
20250312,200.75,198.89,201.52,195.29,25187700.0,1
20250313,198.39,193.89,198.88,191.82,25113500.0,1
20250314,197.4,197.95,198.65,195.32,22100600.0,1
20250317,198.77,195.74,199.0,194.32,28477900.0,1
20250318,192.55,192.82,194.0,189.38,22995100.0,1
20250319,193.27,195.54,195.97,191.96,21113100.0,1
20250320,193.07,194.95,199.32,192.3,23476100.0,1
20250321,192.8,196.21,196.99,192.52,24398400.0,1
20250324,200.08,203.26,203.64,199.95,23366100.0,1
