date,open,high,low,close,price,volume
202606161250,208.89,209.1,208.89,209.09,209.09,146215.0
202606161251,209.08,209.17,209.05,209.08,209.08,96623.0
202606161252,209.08,209.08,208.95,209.04,209.04,70310.0
202606161253,209.05,209.1,208.84,208.86,208.86,103081.0
202606161254,208.86,209.02,208.84,208.96,208.96,65287.0
202606161255,208.96,209.06,208.88,208.91,208.91,68030.0
202606161256,208.91,209.0,208.75,208.76,208.76,82931.0
202606161257,208.77,208.97,208.73,208.95,208.95,101856.0
202606161258,208.94,209.09,208.91,209.01,209.01,89593.0
202606161259,209.02,209.15,208.98,209.13,209.13,100191.0
202606161300,209.14,209.14,208.89,208.98,208.98,91713.0
202606161301,208.96,209.09,208.95,209.01,209.01,68916.0
202606161302,209.01,209.1,208.75,208.77,208.77,115516.0
202606161303,208.77,209.09,208.77,209.07,209.07,111875.0
202606161304,209.07,209.14,208.96,208.97,208.97,136627.0
202606161305,208.98,209.01,208.87,208.92,208.92,105219.0
202606161306,208.91,209.09,208.86,209.03,209.03,85945.0
202606161307,209.02,209.07,208.88,208.99,208.99,54618.0
202606161308,208.98,209.05,208.92,209.05,209.05,39141.0
202606161309,209.05,209.06,208.95,209.02,209.02,48664.0
202606161310,209.01,209.08,208.93,208.98,208.98,62194.0
202606161311,208.99,209.05,208.89,208.92,208.92,60226.0
202606161312,208.92,209.12,208.88,209.09,209.09,121299.0
202606161313,209.1,209.31,209.08,209.29,209.29,149882.0
202606161314,209.28,209.28,209.1,209.19,209.19,133146.0
202606161315,209.19,209.27,209.15,209.15,209.15,70725.0
202606161316,209.16,209.28,209.15,209.28,209.28,75644.0
202606161317,209.28,209.32,209.2,209.21,209.21,94314.0
202606161318,209.2,209.26,209.13,209.17,209.17,54866.0
202606161319,209.15,209.16,208.93,208.97,208.97,81070.0
202606161320,208.98,209.04,208.93,208.99,208.99,55108.0
202606161321,208.98,209.06,208.86,208.89,208.89,100826.0
202606161322,208.9,208.97,208.72,208.73,208.73,97349.0
202606161323,208.72,209.03,208.72,209.0,209.0,109264.0
202606161324,208.98,209.12,208.97,209.09,209.09,56202.0
202606161325,209.1,209.17,209.04,209.04,209.04,62497.0
202606161326,209.04,209.07,208.97,209.06,209.06,54911.0
202606161327,209.06,209.15,209.04,209.13,209.13,45688.0
202606161328,209.15,209.2,209.09,209.2,209.2,57944.0
202606161329,209.2,209.21,209.09,209.09,209.09,64629.0
202606161330,209.1,209.19,209.02,209.02,209.02,59540.0
202606161331,209.04,209.1,208.93,209.09,209.09,83929.0
202606161332,209.1,209.22,209.04,209.19,209.19,58774.0
202606161333,209.19,209.33,209.19,209.29,209.29,107725.0
202606161334,209.29,209.31,209.21,209.22,209.22,59944.0
202606161335,209.23,209.32,209.21,209.27,209.27,73665.0
202606161336,209.27,209.33,209.23,209.29,209.29,58599.0
202606161337,209.29,209.31,209.1,209.12,209.12,78669.0
202606161338,209.12,209.19,209.0,209.07,209.07,77727.0
202606161339,209.07,209.14,208.97,209.06,209.06,72758.0
202606161340,209.06,209.07,208.86,208.91,208.91,100081.0
202606161341,208.9,209.19,208.9,209.15,209.15,157292.0
202606161342,209.14,209.21,209.08,209.2,209.2,98646.0
202606161343,209.2,209.29,209.15,209.29,209.29,128874.0
202606161344,209.28,209.32,209.16,209.17,209.17,102973.0
202606161345,209.16,209.38,209.15,209.33,209.33,74919.0
202606161346,209.32,209.35,209.13,209.2,209.2,76157.0
202606161347,209.23,209.43,209.22,209.35,209.35,78866.0
202606161348,209.32,209.36,209.26,209.33,209.33,58729.0
202606161349,209.33,209.44,209.29,209.41,209.41,72515.0
202606161350,209.43,209.47,209.35,209.46,209.46,82777.0
202606161351,209.46,209.6,209.43,209.55,209.55,125901.0
202606161352,209.56,209.59,209.48,209.58,209.58,83469.0
202606161353,209.59,209.63,209.47,209.54,209.54,114979.0
202606161354,209.56,209.7,209.49,209.7,209.7,87406.0
202606161355,209.7,209.7,209.58,209.64,209.64,57988.0
202606161356,209.64,209.7,209.57,209.59,209.59,61313.0
202606161357,209.59,209.6,209.51,209.56,209.56,61286.0
202606161358,209.57,209.58,209.31,209.36,209.36,149041.0
202606161359,209.37,209.46,209.35,209.43,209.43,72230.0
202606161400,209.42,209.5,209.37,209.42,209.42,86147.0
202606161401,209.43,209.53,209.37,209.53,209.53,65685.0
202606161402,209.53,209.61,209.48,209.61,209.61,106467.0
202606161403,209.61,209.68,209.51,209.58,209.58,102024.0
202606161404,209.58,209.71,209.51,209.69,209.69,112339.0
202606161405,209.69,209.82,209.67,209.68,209.68,205662.0
202606161406,209.68,209.68,209.53,209.55,209.55,90921.0
202606161407,209.55,209.57,209.48,209.55,209.55,50040.0
202606161408,209.56,209.63,209.55,209.55,209.55,72337.0
202606161409,209.55,209.57,209.51,209.54,209.54,60500.0
202606161410,209.54,209.63,209.53,209.54,209.54,53277.0
202606161411,209.54,209.55,209.48,209.52,209.52,46154.0
202606161412,209.52,209.62,209.51,209.62,209.62,42534.0
202606161413,209.62,209.64,209.49,209.51,209.51,55440.0
202606161414,209.51,209.55,209.45,209.5,209.5,59783.0
202606161415,209.49,209.53,209.31,209.38,209.38,77561.0
202606161416,209.38,209.4,209.26,209.28,209.28,64804.0
202606161417,209.26,209.37,209.18,209.35,209.35,78281.0
202606161418,209.36,209.38,209.26,209.32,209.32,50968.0
202606161419,209.33,209.41,209.2,209.24,209.24,70472.0
202606161420,209.25,209.3,209.2,209.28,209.28,72220.0
202606161421,209.28,209.33,209.21,209.26,209.26,56779.0
202606161422,209.25,209.32,209.21,209.28,209.28,68826.0
202606161423,209.27,209.35,209.23,209.27,209.27,52717.0
202606161424,209.26,209.37,209.25,209.37,209.37,48096.0
202606161425,209.37,209.45,209.36,209.45,209.45,62514.0
202606161426,209.45,209.57,209.42,209.55,209.55,117882.0
202606161427,209.55,209.56,209.46,209.48,209.48,60845.0
202606161428,209.47,209.48,209.34,209.35,209.35,47285.0
202606161429,209.35,209.49,209.35,209.45,209.45,44866.0
202606161430,209.46,209.5,209.31,209.36,209.36,70852.0
202606161431,209.38,209.43,209.35,209.41,209.41,43643.0
202606161432,209.41,209.43,209.26,209.3,209.3,35918.0
202606161433,209.29,209.3,209.19,209.25,209.25,89114.0
202606161434,209.27,209.35,209.22,209.25,209.25,52442.0
202606161435,209.24,209.27,209.08,209.13,209.13,98588.0
202606161436,209.12,209.18,209.08,209.1,209.1,90172.0
202606161437,209.09,209.11,208.92,208.92,208.92,147194.0
202606161438,208.93,208.99,208.87,208.96,208.96,121619.0
202606161439,208.96,209.04,208.93,209.0,209.0,150462.0
202606161440,209.01,209.12,209.0,209.03,209.03,168984.0
202606161441,209.03,209.04,208.88,208.9,208.9,113631.0
202606161442,208.9,208.92,208.81,208.89,208.89,142544.0
202606161443,208.9,208.98,208.89,208.96,208.96,58775.0
202606161444,208.96,208.99,208.91,208.92,208.92,65511.0
202606161445,208.91,209.04,208.88,208.97,208.97,119715.0
202606161446,208.97,208.97,208.8,208.9,208.9,98085.0
202606161447,208.9,209.09,208.85,209.0,209.0,100390.0
202606161448,209.01,209.07,208.95,208.96,208.96,68300.0
202606161449,208.96,208.98,208.76,208.78,208.78,93403.0
202606161450,208.78,208.93,208.78,208.86,208.86,75675.0
202606161451,208.86,209.06,208.84,209.03,209.03,79502.0
202606161452,209.02,209.04,208.92,208.98,208.98,63526.0
202606161453,208.99,208.99,208.86,208.97,208.97,93619.0
202606161454,208.97,209.02,208.9,209.0,209.0,61221.0
202606161455,209.0,209.01,208.93,208.96,208.96,81387.0
202606161456,208.96,209.0,208.93,208.95,208.95,63268.0
202606161457,208.95,209.0,208.84,208.86,208.86,75243.0
202606161458,208.88,208.92,208.83,208.89,208.89,62867.0
202606161459,208.9,209.0,208.89,209.0,209.0,85583.0
202606161500,208.99,209.0,208.85,208.96,208.96,79378.0
202606161501,208.97,209.13,208.96,209.13,209.13,92949.0
202606161502,209.13,209.13,209.01,209.07,209.07,92757.0
202606161503,209.05,209.2,209.01,209.18,209.18,68646.0
202606161504,209.18,209.4,209.18,209.31,209.31,131532.0
202606161505,209.31,209.35,209.1,209.12,209.12,97556.0
202606161506,209.12,209.26,209.11,209.24,209.24,60428.0
202606161507,209.25,209.34,209.25,209.34,209.34,86251.0
202606161508,209.34,209.34,209.03,209.05,209.05,107441.0
202606161509,209.07,209.08,208.96,208.99,208.99,138636.0
202606161510,209.0,209.05,208.71,208.72,208.72,164994.0
202606161511,208.72,208.83,208.66,208.74,208.74,135803.0
202606161512,208.73,208.74,208.5,208.55,208.55,228192.0
202606161513,208.55,208.62,208.52,208.54,208.54,109056.0
202606161514,208.55,208.67,208.5,208.61,208.61,158833.0
202606161515,208.61,208.61,208.19,208.22,208.22,258183.0
202606161516,208.22,208.32,208.06,208.16,208.16,276656.0
202606161517,208.17,208.3,208.13,208.24,208.24,178397.0
202606161518,208.26,208.37,208.18,208.2,208.2,157344.0
202606161519,208.19,208.55,208.19,208.53,208.53,168392.0
202606161520,208.53,208.72,208.47,208.71,208.71,149796.0
202606161521,208.72,208.84,208.67,208.74,208.74,243146.0
202606161522,208.76,208.87,208.67,208.77,208.77,201600.0
202606161523,208.76,208.8,208.64,208.79,208.79,207668.0
202606161524,208.79,208.92,208.78,208.81,208.81,118373.0
202606161525,208.84,208.91,208.81,208.86,208.86,115339.0
202606161526,208.86,208.88,208.72,208.77,208.77,112606.0
202606161527,208.79,208.86,208.74,208.83,208.83,95286.0
202606161528,208.82,208.9,208.75,208.88,208.88,76837.0
202606161529,208.88,208.98,208.85,208.93,208.93,123919.0
202606161530,208.93,209.1,208.91,209.01,209.01,179385.0
202606161531,209.0,209.01,208.84,208.84,208.84,114555.0
202606161532,208.84,208.9,208.74,208.79,208.79,120842.0
202606161533,208.79,208.81,208.65,208.78,208.78,149203.0
202606161534,208.77,208.77,208.56,208.64,208.64,119510.0
202606161535,208.65,208.79,208.55,208.61,208.61,118365.0
202606161536,208.6,208.63,208.42,208.54,208.54,118919.0
202606161537,208.52,208.62,208.5,208.52,208.52,95291.0
202606161538,208.51,208.57,208.42,208.45,208.45,123828.0
