datetime,open,close,high,low,volume,status
20250409,98.94,114.33,115.09,97.7,431005000.0,1
20250410,109.33,107.57,110.86,103.01,320786900.0,1
20250411,108.51,110.93,111.55,107.49,228867300.0,1
20250414,114.15,110.71,114.29,109.07,194005900.0,1
20250415,110.97,112.2,113.62,110.5,160416300.0,1
20250416,104.44,104.49,106.79,100.45,283739000.0,1
20250417,104.47,101.49,104.47,100.05,227874900.0,1
20250421,98.77,96.91,99.44,95.04,193607600.0,1
20250422,98.76,98.89,99.82,97.28,173367400.0,1
20250423,104.52,102.71,104.8,102.02,174026700.0,1
20250424,103.49,106.43,106.54,103.11,153070500.0,1
20250425,106.86,111.01,111.92,105.73,191454200.0,1
20250428,109.7,108.73,110.37,106.02,150002700.0,1
20250429,107.67,109.02,110.2,107.44,128526200.0,1
20250430,104.48,108.92,108.92,104.08,146120400.0,1
20250501,113.14,111.61,114.94,111.3,168947100.0,1
20250502,114.17,114.5,115.4,113.37,135853400.0,1
20250505,112.91,113.82,114.67,112.66,93143600.0,1
20250506,111.47,113.54,114.74,110.82,113672200.0,1
20250507,113.04,117.06,117.68,112.28,150000300.0,1
20250508,118.49,117.37,118.68,115.85,143441800.0,1
20250509,117.36,116.65,118.23,115.21,101968600.0,1
20250512,121.97,123.0,123.0,120.28,154612900.0,1
20250513,124.98,129.93,131.22,124.47,230058100.0,1
20250514,133.21,135.34,135.44,131.68,190607700.0,1
20250515,134.3,134.83,136.3,132.66,162674100.0,1
20250516,136.22,135.4,136.35,133.46,150854100.0,1
20250519,132.35,135.57,135.87,132.34,132795800.0,1
20250520,134.3,134.38,134.58,132.62,117500700.0,1
20250521,133.04,131.8,137.4,130.59,203095000.0,1
20250522,132.22,132.83,134.25,131.55,137199000.0,1
20250523,130.0,131.29,132.66,129.16,141358300.0,1
20250527,134.21,135.5,135.66,133.31,139565600.0,1
20250528,136.02,134.81,137.25,134.79,178599900.0,1
20250529,142.25,139.19,143.49,137.93,268663000.0,1
20250530,138.69,135.13,139.62,132.92,212987600.0,1
20250602,135.58,137.38,138.12,135.4,129841100.0,1
20250603,138.81,141.22,142.0,137.95,158356000.0,1
20250604,142.19,141.92,142.39,139.54,118991100.0,1
20250605,142.15,139.99,144.0,138.83,157398800.0,1
20250606,142.51,141.72,143.27,141.51,110234100.0,1
20250609,143.21,142.63,145.0,141.95,133169300.0,1
20250610,142.69,143.96,144.29,141.52,104457400.0,1
20250611,144.63,142.83,144.99,141.87,117159700.0,1
20250612,141.99,145.0,145.0,141.85,117944600.0,1
20250613,142.48,141.97,143.58,140.85,124352100.0,1
20250616,143.38,144.69,146.18,143.25,130365300.0,1
20250617,144.54,144.12,145.22,143.78,96271700.0,1
20250618,144.02,145.48,145.65,143.12,113312800.0,1
20250620,145.45,143.85,146.2,142.65,135342600.0,1
20250623,142.5,144.17,144.78,142.03,106361200.0,1
20250624,145.55,147.9,147.96,145.5,116940200.0,1
20250625,149.29,154.31,154.45,149.26,191731800.0,1
20250626,155.97,155.02,156.72,154.0,139038800.0,1
20250627,156.04,157.75,158.71,155.25,154504600.0,1
20250630,158.41,157.99,158.66,155.97,115600300.0,1
20250701,156.26,153.3,157.2,151.49,155514500.0,1
20250702,152.97,157.25,157.6,152.95,121044100.0,1
20250703,158.37,159.34,160.98,157.77,97870700.0,1
20250707,158.2,158.24,159.31,157.34,96567900.0,1
20250708,159.34,160.0,160.22,158.39,96926300.0,1
20250709,161.23,162.88,164.42,161.16,125696800.0,1
20250710,164.32,164.1,164.5,161.61,119231500.0,1
20250711,163.73,164.92,167.89,163.47,143530800.0,1
20250714,165.34,164.07,165.49,162.02,100794900.0,1
20250715,171.19,170.7,172.4,169.19,157378000.0,1
20250716,171.07,171.37,171.75,168.9,114175800.0,1
20250717,172.07,173.0,174.16,170.83,113765700.0,1
20250718,173.64,172.41,174.25,171.26,95796300.0,1
20250721,172.78,171.38,173.38,171.0,81541800.0,1
20250722,171.4,167.03,171.4,164.58,133303700.0,1
20250723,169.54,170.78,171.26,168.0,105426300.0,1
20250724,172.6,173.74,173.83,171.3,90664000.0,1
20250725,173.6,173.5,174.72,172.96,86618500.0,1
20250728,174.01,176.75,176.98,173.97,92733100.0,1
20250729,177.97,175.51,179.38,175.02,108418700.0,1
20250730,176.51,179.27,179.89,176.04,116908900.0,1
20250731,182.89,177.87,183.3,175.93,151674900.0,1
20250801,174.12,173.72,176.54,170.89,143833600.0,1
20250804,175.16,180.0,180.2,174.52,99842500.0,1
20250805,179.62,178.26,180.26,175.9,114447500.0,1
20250806,176.33,179.42,179.9,176.25,93887000.0,1
20250807,181.59,180.77,183.88,178.79,112935500.0,1
20250808,181.54,182.7,183.3,180.4,90418400.0,1
20250811,182.05,182.06,183.84,180.25,97923100.0,1
20250812,182.96,183.16,184.48,179.46,99217400.0,1
20250813,182.62,181.59,183.97,179.35,122651700.0,1
20250814,179.73,182.02,183.01,179.46,91449700.0,1
20250815,181.78,180.45,181.9,178.04,107612600.0,1
20250818,180.58,182.01,182.94,180.58,94742200.0,1
20250819,182.43,175.64,182.5,175.49,134317900.0,1
20250820,175.17,175.4,176.0,168.8,153369700.0,1
20250821,174.85,174.98,176.9,173.81,95966300.0,1
20250822,172.61,177.99,178.59,171.2,127276000.0,1
20250825,178.36,179.81,181.91,176.57,116831700.0,1
20250826,180.06,181.77,182.39,178.81,101031800.0,1
20250827,182.0,181.6,182.49,179.1,133817900.0,1
20250828,180.9,180.17,184.47,176.41,194140400.0,1
20250829,178.08,174.18,178.15,173.14,168648100.0,1
20250902,170.06,170.78,172.38,167.22,159254800.0,1
20250903,171.05,170.62,172.41,168.87,113091800.0,1
20250904,170.54,171.66,171.86,169.41,91189900.0,1
20250905,168.01,167.02,169.03,164.07,150200100.0,1
20250908,167.55,168.31,170.96,167.35,113862300.0,1
20250909,169.09,170.76,170.98,166.74,104607400.0,1
20250910,176.64,177.33,179.29,175.47,159438600.0,1
20250911,179.68,177.17,180.28,176.48,102856400.0,1
20250912,177.82,177.82,178.6,176.45,83019100.0,1
20250915,175.68,177.75,178.85,174.51,101477900.0,1
20250916,177.0,174.88,177.5,174.38,94343900.0,1
20250917,172.59,170.29,173.2,168.41,151543400.0,1
20250918,173.98,176.24,177.1,172.97,126921900.0,1
20250919,175.7,176.67,178.08,175.18,118095100.0,1
20250922,175.3,183.61,184.55,174.7,197216000.0,1
20250923,181.97,178.43,182.42,176.21,128361600.0,1
20250924,179.77,176.97,179.78,175.4,94352100.0,1
20250925,174.47,177.69,180.26,173.12,140055600.0,1
20250926,178.16,178.19,179.77,174.96,100999400.0,1
20250929,180.43,181.85,184.0,180.32,128200300.0,1
20250930,182.1,186.58,187.35,181.48,161197200.0,1
20251001,185.21,187.24,188.14,183.9,114492900.0,1
20251002,189.61,188.89,191.03,188.06,93500400.0,1
20251003,189.18,187.62,190.36,185.38,91754900.0,1
20251006,185.46,185.54,187.23,183.33,102131200.0,1
20251007,186.25,185.04,189.06,184.0,98920700.0,1
20251008,186.57,189.11,189.6,186.54,88479500.0,1
20251009,192.29,192.57,195.3,191.06,122524400.0,1
20251010,193.5,183.16,195.62,182.05,169048000.0,1
20251013,187.99,188.32,190.11,186.0,95578200.0,1
20251014,184.77,180.03,184.8,179.7,131491100.0,1
20251015,184.8,179.83,184.87,177.29,134868500.0,1
20251016,182.23,181.81,183.28,179.77,120853400.0,1
20251017,180.2,183.22,184.1,179.75,114570900.0,1
20251020,183.07,182.64,185.2,181.73,88847500.0,1
20251021,182.79,181.16,182.79,179.8,81908200.0,1
20251022,181.14,180.28,183.44,176.82,106525900.0,1
20251023,180.4,182.16,183.03,179.79,73470200.0,1
20251024,183.86,186.26,187.47,183.5,88649200.0,1
20251027,190.0,191.49,192.0,188.43,99573700.0,1
20251028,193.06,201.03,203.15,191.91,207724800.0,1
20251029,207.99,207.04,212.19,204.77,198868100.0,1
20251030,205.15,202.89,206.16,201.41,107934000.0,1
20251031,206.45,202.49,207.97,202.07,103271900.0,1
20251103,208.08,206.88,211.34,205.56,118299000.0,1
20251104,203.0,198.69,203.97,197.94,110730800.0,1
20251105,198.77,195.21,202.92,194.65,105901400.0,1
20251106,196.52,188.08,197.62,186.38,144224700.0,1
20251107,184.9,188.15,188.31,178.95,160132200.0,1
20251110,195.09,199.05,199.94,193.79,126548000.0,1
20251111,195.18,193.16,195.42,191.3,113237500.0,1
20251112,195.72,193.8,195.89,191.13,104242500.0,1
20251113,191.05,186.86,191.44,183.85,133567900.0,1
20251114,182.86,190.17,191.01,180.58,120176100.0,1
20251117,185.97,186.6,189.0,184.32,107199100.0,1
20251118,183.4,181.36,184.8,179.65,136246100.0,1
20251119,184.75,186.52,187.86,182.83,130329600.0,1
20251120,196.0,180.64,196.0,179.86,225890200.0,1
20251121,181.24,178.88,184.56,172.93,210534700.0,1
20251124,179.47,182.55,183.5,176.48,140259100.0,1
20251125,174.91,177.82,178.16,169.55,199058500.0,1
20251126,181.69,180.26,182.91,178.24,116902200.0,1
20251128,179.0,177.0,179.29,176.5,75086900.0,1
20251201,174.76,179.92,180.3,173.68,115008000.0,1
20251202,181.77,181.46,185.66,180.0,123352900.0,1
20251203,181.08,179.59,182.45,179.11,98365900.0,1
20251204,181.62,183.38,184.52,180.0,109661800.0,1
20251205,183.89,182.41,184.66,180.91,90932300.0,1
20251208,182.68,185.55,187.99,182.4,133096500.0,1
20251209,185.57,184.97,185.72,183.32,91485300.0,1
20251210,184.97,183.78,185.48,182.03,103538500.0,1
20251211,180.29,180.93,181.32,176.62,116998100.0,1
20251212,181.11,175.02,182.82,174.62,127891100.0,1
20251215,177.94,176.29,178.42,175.03,102832200.0,1
20251216,176.22,177.72,178.49,174.9,93856600.0,1
20251217,176.1,170.94,176.13,170.31,139254400.0,1
20251218,174.56,174.14,176.15,171.82,107674500.0,1
20251219,176.67,180.99,181.45,176.36,146888100.0,1
20251222,183.92,183.69,184.16,182.35,80881800.0,1
20251223,182.98,189.21,189.33,182.9,118995900.0,1
20251224,187.94,188.61,188.91,186.59,46128400.0,1
20251226,189.92,190.53,192.69,188.0,101515800.0,1
20251229,187.7,188.22,188.76,185.92,77956900.0,1
20251230,188.23,187.54,188.99,186.93,66200000.0,1
20251231,189.57,186.5,190.56,186.49,78845600.0,1
20260102,189.84,188.85,192.93,188.26,102846600.0,1
20260105,191.77,188.12,193.63,186.15,124920300.0,1
20260106,190.51,187.24,192.18,186.82,119679200.0,1
20260107,188.57,189.11,191.37,186.56,99550200.0,1
20260108,189.12,185.04,189.55,183.71,113511800.0,1
20260109,185.04,184.86,186.34,183.67,88096300.0,1
20260112,183.12,184.94,187.12,183.1,85761700.0,1
20260113,185.01,185.81,188.11,183.4,109038200.0,1
20260114,184.33,183.14,184.46,180.8,104601900.0,1
20260115,186.51,187.05,189.7,186.33,133204300.0,1
20260116,189.05,186.23,190.44,186.08,104412100.0,1
20260120,181.9,178.07,182.38,177.68,140877200.0,1
20260121,179.05,183.32,185.38,178.42,136597200.0,1
20260122,184.71,184.84,186.17,183.93,96195000.0,1
20260123,187.51,187.67,189.6,186.82,95094000.0,1
20260126,187.17,186.47,189.12,186.0,81612300.0,1
20260127,187.24,188.52,190.0,185.7,100335300.0,1
20260128,191.28,191.52,192.35,189.84,104978800.0,1
20260129,191.34,192.51,193.48,186.06,117912100.0,1
20260130,191.21,191.13,194.49,189.47,105827900.0,1
20260202,187.21,185.61,190.3,184.88,104318700.0,1
20260203,186.23,180.34,186.27,176.23,131728700.0,1
20260204,179.46,174.19,179.58,171.91,127688900.0,1
20260205,174.99,171.88,176.82,171.03,115537800.0,1
20260206,176.7,185.41,187.0,174.6,152159200.0,1
20260209,184.26,190.04,193.66,183.93,126111400.0,1
